fymon,number,percent
2000-10,246,11.3260
2000-11,254,12.4388
2000-12,236,13.6574
2001-01,308,14.6667
2001-02,287,14.1939
2001-03,336,14.7822
2001-04,244,11.1978
2001-05,374,14.7768
2001-06,276,14.9189
2001-07,284,13.3710
2001-08,324,13.0645
2001-09,255,16.6124
2001-10,373,16.0845
2001-11,289,13.3982
2001-12,266,14.5753
2002-01,302,12.8129
2002-02,302,12.5624
2002-03,320,12.9450
2002-04,372,14.1069
2002-05,442,14.7826
2002-06,345,17.0034
2002-07,484,17.1936
2002-08,393,14.7191
2002-09,465,17.3378
2002-10,529,17.2932
2002-11,405,16.2716
2002-12,327,14.4818
2003-01,492,16.3891
2003-02,363,13.2579
2003-03,531,17.3359
2003-04,570,16.5170
2003-05,473,14.8229
2003-06,613,19.7043
2003-07,503,15.6844
2003-08,546,18.2792
2003-09,566,17.5449
2003-10,649,19.3500
2003-11,346,14.1978
2003-12,523,18.9906
2004-01,559,20.0502
2004-02,546,19.6191
2004-03,517,15.5255
2004-04,576,19.1617
2004-05,610,20.9838
2004-06,583,24.1508
2004-07,595,22.5123
2004-08,675,24.1416
2004-09,526,19.5903
2004-10,600,22.3048
2004-11,542,20.8863
2004-12,521,20.6992
2005-01,637,22.9302
2005-02,583,22.1757
2005-03,669,21.5182
2005-04,542,22.1405
2005-05,566,23.1398
2005-06,579,21.2633
2005-07,422,20.3080
2005-08,440,19.9909
2005-09,467,18.4585
2005-10,290,12.6362
2005-11,496,19.4053
2005-12,417,18.6828
2006-01,553,22.7853
2006-02,481,19.5608
2006-03,491,16.7120
2006-04,441,17.3009
2006-05,440,15.6975
2006-06,386,13.3379
2006-07,353,15.0726
2006-08,325,16.3071
2006-09,326,14.2110
2006-10,368,14.8268
2006-11,346,14.4047
2006-12,236,10.8656
2007-01,352,14.6484
2007-02,366,16.2450
2007-03,482,17.3008
2007-04,418,17.0195
2007-05,387,14.7260
2007-06,384,15.6927
2007-07,308,14.1349
2007-08,258,15.6364
2007-09,312,16.6134
2007-10,331,14.7308
2007-11,264,13.1868
2007-12,237,14.9433
2008-01,342,15.9738
2008-02,279,14.8562
2008-03,408,18.8976
2008-04,281,14.0080
2008-05,245,11.9746
2008-06,290,13.9423
2008-07,274,12.5573
2008-08,212,12.3904
2008-09,216,10.6299
2008-10,248,12.1927
2008-11,145,8.9121
2008-12,152,9.3023
2009-01,175,10.2941
2009-02,154,9.1612
2009-03,181,8.8725
2009-04,208,9.6475
2009-05,142,7.7511
2009-06,170,8.6076
2009-07,152,8.2430
2009-08,86,6.6874
2009-09,127,7.0792
2009-10,148,8.4475
2009-11,110,6.9664
2009-12,113,7.0802
2010-01,89,5.8668
2010-02,68,5.0147
2010-03,73,3.7981
2010-04,71,3.9466
2010-05,83,4.9434
2010-06,86,5.0381
2010-07,54,4.3478
2010-08,84,5.1313
2010-09,83,4.9910
2010-10,45,2.7881
2010-11,38,2.4984
2010-12,49,3.1736
2011-01,93,5.4354
2011-02,55,3.2183
2011-03,63,2.7668
2011-04,53,2.6999
2011-05,67,3.1192
2011-06,54,2.5532
2011-07,40,2.9326
2011-08,75,3.4884
2011-09,70,3.6288
2011-10,62,3.2495
2011-11,57,3.1165
2011-12,43,2.6092
2012-01,39,2.1242
2012-02,37,2.0833
2012-03,43,2.2303
2012-04,62,3.2563
2012-05,33,1.8344
2012-06,54,2.8723
2012-07,44,3.1317
2012-08,51,2.6007
2012-09,46,2.7694
2012-10,46,2.6869
2012-11,24,1.6620
2012-12,23,1.4993
2013-01,48,2.8152
2013-02,33,2.1208
2013-03,43,2.4642
2013-04,57,2.8586
2013-05,66,3.3266
2013-06,53,2.8177
2013-07,62,3.8726
2013-08,68,3.5215
2013-09,45,2.4194
2013-10,18,1.6965
2013-11,44,2.6618
2013-12,35,2.1793
2014-01,65,3.6051
2014-02,44,2.8516
2014-03,63,3.5255
2014-04,64,3.3934
2014-05,69,4.2672
2014-06,83,4.6188
2014-07,48,2.8335
2014-08,56,3.5760
2014-09,43,2.4321
2014-10,61,3.4097
2014-11,55,4.0590
2014-12,57,3.6562
2015-01,47,3.1735
2015-02,40,2.8329
2015-03,54,3.2162
2015-04,43,2.7061
2015-05,45,3.0907
2015-06,25,1.5366
2015-07,20,1.2217
2015-08,35,2.8045
2015-09,31,1.7614
2015-10,31,1.8034
2015-11,16,0.9610
2015-12,18,1.1688
2016-01,18,1.2422
2016-02,23,1.3302
2016-03,32,1.4781
2016-04,42,2.2105
2016-05,39,1.8795
2016-06,30,1.3724
2016-07,15,0.8479
2016-08,32,1.6186
2016-09,39,1.8190
2016-10,35,1.6667
2016-11,52,2.3434
2016-12,55,2.7174
2017-01,60,2.7791
2017-02,88,4.0109
2017-03,142,5.1116
2017-04,74,3.0453
2017-05,127,4.5438
2017-06,150,5.0369
2017-07,132,5.2695
2017-08,258,7.7292
2017-09,85,3.1101
2017-10,245,7.4992
2017-11,252,7.8972
2017-12,193,7.6044
2018-01,246,7.9049
2018-02,348,10.4160
2018-03,328,8.4297
2018-04,368,8.9581
2018-05,325,7.6453
2018-06,202,6.2346
2018-07,237,6.6798
2018-08,286,7.1769
2018-09,255,6.7964
